Country,Year,Greenhouse Gas (GHGs) Emissions,,,
Japan,2008,1322740.887,,,
Japan,2007,1395797.161,,,
Japan,2006,1360652.464,,,
Japan,2005,1382002.886,,,
Latvia,2020,10459.72479,,,
Latvia,2019,11116.30023,,,
Latvia,2018,11246.84326,,,
Latvia,2017,10752.40357,,,
Latvia,2016,10711.07691,,,
Latvia,2015,10720.39487,,,
Latvia,2014,10668.38459,,,
Latvia,2013,10757.75149,,,
Latvia,2012,10843.0957,,,
Latvia,2011,11021.59843,,,
Latvia,2010,11818.2006,,,
Latvia,2009,10732.18188,,,
Latvia,2008,11421.2749,,,
Latvia,2007,11872.87757,,,
Latvia,2006,11426.11869,,,
Latvia,2005,10949.2198,,,
Netherlands,2020,164334.5003,,,
Netherlands,2019,180268.7811,,,
Netherlands,2018,186037.307,,,
Netherlands,2017,191021.2835,,,
Netherlands,2016,193509.1169,,,
Netherlands,2015,193100.6511,,,
Netherlands,2014,185978.289,,,
Netherlands,2013,193791.7964,,,
Netherlands,2012,193462.434,,,
Netherlands,2011,197700.7529,,,
Netherlands,2010,212041.4363,,,
Netherlands,2009,200046.0911,,,
Netherlands,2008,205636.4956,,,
Netherlands,2007,206221.4937,,,
Netherlands,2006,207824.1764,,,
Netherlands,2005,212885.823,,,
Portugal,2020,57585.72239,,,
Portugal,2019,63624.02939,,,
Portugal,2018,67227.3202,,,
Portugal,2017,70950.34291,,,
Portugal,2016,65851.6549,,,
Portugal,2015,67701.63313,,,
Portugal,2014,63537.87214,,,
Portugal,2013,63616.15437,,,
Portugal,2012,65502.13798,,,
Portugal,2011,67421.93294,,,
Portugal,2010,68926.15898,,,
Portugal,2009,73142.10466,,,
Portugal,2008,76267.10261,,,
Portugal,2007,78683.89173,,,
Portugal,2006,80947.59648,,,
Portugal,2005,85774.88539,,,
Slovakia,2020,37048.58137,,,
Slovakia,2019,39821.65026,,,
Slovakia,2018,42134.88548,,,
Slovakia,2017,42262.76566,,,
Slovakia,2016,41179.36823,,,
Slovakia,2015,40714.319,,,
Slovakia,2014,40009.35937,,,
Slovakia,2013,41961.678,,,
Slovakia,2012,42284.17426,,,
Slovakia,2011,44700.25129,,,
Slovakia,2010,45673.21706,,,
Slovakia,2009,44872.78063,,,
Slovakia,2008,49163.7197,,,
Slovakia,2007,48631.26571,,,
Slovakia,2006,50376.30518,,,
Slovakia,2005,50562.03357,,,
Switzerland,2020,43411.59551,,,
Switzerland,2019,46097.23889,,,
Switzerland,2018,46376.72338,,,
Switzerland,2017,47879.96752,,,
Switzerland,2016,48757.86986,,,
Switzerland,2015,48480.42346,,,
Switzerland,2014,48974.07615,,,
Switzerland,2013,52918.29801,,,
Switzerland,2012,52040.03138,,,
Switzerland,2011,50696.55254,,,
Switzerland,2010,54817.04669,,,
Switzerland,2009,53181.42468,,,
Switzerland,2008,54642.67834,,,
Switzerland,2007,53230.91888,,,
Switzerland,2006,55147.7451,,,
Switzerland,2005,55458.95274,,,
